Kind,Name,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountDeclClass,CountDeclFile,CountLineCode
File,"BookStore.java",,0.67,,9,9,,,1,,51
File,"BookToBookStore.java",,0.71,,11,11,,,1,,65
File,"BootCuriesHrefIntegrationTests.java",,0.32,,11,11,,,3,,107
File,"BootGlobalAuthenticationConfiguration.java",,0.84,,2,3,,,2,,38
File,"BootRunResourceTests.java",,0.63,,2,3,,,1,,32
Public Class,"BootRunResourcesApplication",,0.00,1,0,1,1,0,,,6
File,"BootRunResourcesApplication.java",,2.50,,0,1,,,1,,6
Public Static Method,"BootRunResourcesApplication.main",1,0.00,,,,,,,,4
File,"BootRunTask.java",,0.60,,4,4,,,1,,47
File,"BoxingPojo.java",,1.21,,4,4,,,1,,19
File,"Buffer.java",,1.86,,4,4,,,1,,14
File,"BufferCounterService.java",,0.69,,5,5,,,1,,36
File,"BufferGaugeService.java",,0.86,,3,3,,,1,,29
File,"BufferGaugeServiceSpeedTests.java",,0.16,,8,10,,,6,,126
File,"BufferMetricReader.java",,0.37,,9,9,,,2,,60
File,"BufferMetricReaderTests.java",,0.74,,3,3,,,1,,27
File,"Buffers.java",,0.54,,7,7,,,3,,41
File,"BuildInfo.java",,0.29,,14,14,,,1,,86
File,"BuildInfoContributor.java",,0.72,,4,4,,,1,,29
File,"BuildInfoMojo.java",,0.74,,1,1,,,1,,43
File,"BuildProperties.java",,1.22,,6,8,,,1,,41
File,"BuildPropertiesTests.java",,0.59,,2,3,,,1,,34
File,"BuildPropertiesWriter.java",,0.31,,12,13,,,3,,110
File,"BuilderPojo.java",,1.54,,2,2,,,1,,13
File,"ByteArrayRandomAccessData.java",,0.71,,5,5,,,1,,28
File,"ByteArrayRandomAccessDataTests.java",,0.77,,2,2,,,1,,26
File,"ByteArrayStartsWith.java",,0.80,,3,3,,,1,,25
File,"Bytes.java",,0.39,,1,6,,,1,,51
File,"CacheAutoConfiguration.java",,0.32,,7,8,,,5,,114
File,"CacheAutoConfigurationTests.java",,0.03,,96,97,,,38,,923
File,"CacheCondition.java",,0.67,,1,1,,,1,,33
File,"CacheConfigurations.java",,0.49,,1,4,,,1,,43
File,"CacheManagerCheck.java",,0.75,,2,2,,,1,,20
File,"CacheManagerCustomizer.java",,5.40,,1,1,,,1,,5
File,"CacheManagerCustomizers.java",,0.76,,3,3,,,1,,42
File,"CacheManagerCustomizersTests.java",,0.29,,6,6,,,4,,62
File,"CacheProperties.java",,0.66,,29,29,,,8,,137
File,"CachePublicMetrics.java",,0.24,,7,7,,,2,,87
File,"CacheStatistics.java",,5.33,,4,4,,,1,,9
File,"CacheStatisticsAutoConfiguration.java",,0.21,,9,9,,,10,,112
File,"CacheStatisticsAutoConfigurationTests.java",,0.08,,27,27,,,9,,266
File,"CacheStatisticsProvider.java",,5.00,,1,1,,,1,,6
File,"CacheType.java",,4.00,,2,2,,,1,,14
File,"CachingCompilerAutoConfiguration.java",,0.88,,3,3,,,1,,24
File,"CaffeineCacheConfiguration.java",,0.32,,4,4,,,1,,66
File,"CaffeineCacheStatisticsProvider.java",,1.11,,1,1,,,1,,19
File,"CassandraAutoConfiguration.java",,0.26,,5,6,,,1,,92
File,"CassandraAutoConfigurationTests.java",,0.25,,10,10,,,4,,83
File,"CassandraDataAutoConfiguration.java",,0.26,,5,5,,,1,,90
File,"CassandraDataAutoConfigurationIntegrationTests.java",,0.34,,4,4,,,1,,62
File,"CassandraDataAutoConfigurationTests.java",,0.24,,5,5,,,4,,88
File,"CassandraHealthIndicator.java",,0.87,,2,2,,,1,,30
File,"CassandraProperties.java",,0.55,,34,34,,,1,,134
File,"CassandraRepositoriesAutoConfiguration.java",,1.28,,0,0,,,1,,18
File,"CassandraRepositoriesAutoConfigurationTests.java",,0.24,,8,8,,,5,,91
File,"CassandraRepositoriesAutoConfigureRegistrar.java",,0.88,,3,3,,,2,,25
File,"CassandraTestServer.java",,0.40,,7,7,,,3,,58
File,"CentralDirectoryEndRecord.java",,0.79,,6,6,,,1,,58
File,"CentralDirectoryFileHeader.java",,0.26,,16,17,,,1,,121
File,"CentralDirectoryParser.java",,0.45,,7,7,,,1,,62
File,"CentralDirectoryParserTests.java",,0.24,,7,7,,,3,,83
File,"CentralDirectoryVisitor.java",,2.50,,3,3,,,1,,8
File,"ChangeableUrls.java",,0.19,,7,13,,,1,,117
File,"ChangeableUrlsTests.java",,0.28,,8,8,,,1,,78
File,"ChangedFile.java",,0.88,,9,9,,,2,,59
File,"ChangedFileTests.java",,0.38,,6,6,,,1,,52
File,"ChangedFiles.java",,0.67,,7,7,,,1,,46
File,"ChatService.java",,0.28,,5,5,,,2,,53
File,"City.java",,0.30,,10,10,,,1,,50
File,"City.java",,1.36,,0,0,,,1,,11
File,"City.java",,0.41,,7,7,,,1,,37
File,"City.java",,0.34,,7,7,,,1,,44
File,"City.java",,0.34,,7,7,,,1,,44
File,"City.java",,0.41,,7,7,,,1,,37
File,"City.java",,0.41,,7,7,,,1,,37
File,"City.java",,0.78,,4,4,,,1,,23
File,"City.java",,0.33,,7,7,,,1,,46
File,"City.java",,0.34,,7,7,,,1,,44
File,"City.java",,0.34,,7,7,,,1,,44
File,"City.java",,0.33,,7,7,,,1,,45
File,"City.java",,0.33,,7,7,,,1,,45
File,"CityCassandraRepository.java",,3.00,,0,0,,,1,,5
File,"CityCouchbaseRepository.java",,3.60,,0,0,,,1,,5
File,"CityElasticsearchDbRepository.java",,3.00,,0,0,,,1,,5
File,"CityJpaRepository.java",,3.00,,0,0,,,1,,5
File,"CityMongoDbRepository.java",,3.00,,0,0,,,1,,5
